Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-02 00:00:00+05:30,237.52996765259263,238.84471556704645,234.97717751957185,237.77101135253906,7097888,0.0,0.0
2017-01-03 00:00:00+05:30,238.8118742765638,240.37860730318542,236.8945388419962,238.7132568359375,6434204,0.0,0.0
2017-01-04 00:00:00+05:30,239.48020166276197,239.50211339949,233.21326943061072,233.8377685546875,10392483,0.0,0.0
2017-01-05 00:00:00+05:30,234.68137523395623,236.6315634816447,234.18834658159105,236.08375549316406,8734164,0.0,0.0
2017-01-06 00:00:00+05:30,235.38256750773473,237.74910798611037,235.1415237993049,235.54690551757812,7845839,0.0,0.0
2017-01-09 00:00:00+05:30,235.99612346442117,237.96823819847012,234.68139005993987,236.14950561523438,5228980,0.0,0.0
2017-01-10 00:00:00+05:30,236.65344986491527,239.80882705110653,236.65344986491527,238.81182861328125,11349916,0.0,0.0
2017-01-11 00:00:00+05:30,239.9403458197158,240.0937279659821,237.52998181318367,237.97918701171875,11475958,0.0,0.0
2017-01-12 00:00:00+05:30,238.18733569952568,238.92140804330162,236.609646969281,237.3765869140625,4371992,0.0,0.0
2017-01-13 00:00:00+05:30,237.65047749973726,240.48813474446288,237.65047749973726,238.93235778808594,7234429,0.0,0.0
2017-01-16 00:00:00+05:30,238.83376725026284,239.71025126028096,235.3277873282119,235.83177185058594,12013154,0.0,0.0
2017-01-17 00:00:00+05:30,233.36661268828124,234.02397930787492,227.55984252266566,228.1624298095703,39234251,0.0,0.0
2017-01-18 00:00:00+05:30,228.45823008559276,229.64150751159227,225.4233673985422,226.25604248046875,15867619,0.0,0.0
2017-01-19 00:00:00+05:30,226.82579205961582,229.04990631766094,225.9164257947301,226.50807189941406,15284274,0.0,0.0
2017-01-20 00:00:00+05:30,226.56285777638678,227.32978315736966,224.36065518996853,224.77699279785156,8784907,0.0,0.0
2017-01-23 00:00:00+05:30,223.90048692617898,225.91641030709985,221.92837238530092,222.60765075683594,13708502,0.0,0.0
2017-01-24 00:00:00+05:30,222.84867024640548,225.43432784660058,222.84867024640548,225.10565185546875,9419288,0.0,0.0
2017-01-25 00:00:00+05:30,226.13555679209082,226.28893893772917,222.66244438885136,222.91444396972656,23856654,0.0,0.0
2017-01-27 00:00:00+05:30,223.5608478179369,225.4562713535853,223.2869365105033,224.62359619140625,21861796,0.0,0.0
2017-01-30 00:00:00+05:30,224.59072661549607,229.30188111786623,224.5578590141721,228.94032287597656,15678126,0.0,0.0
2017-01-31 00:00:00+05:30,229.3895276015269,230.91243700850686,227.95426513123775,229.02796936035156,15125194,0.0,0.0
2017-02-01 00:00:00+05:30,229.22520104607534,230.2769935935583,226.8367487653081,230.00308227539062,11312284,0.0,0.0
2017-02-02 00:00:00+05:30,230.07979377077183,230.25508765732494,227.50509167538812,228.65548706054688,9099129,0.0,0.0
2017-02-03 00:00:00+05:30,229.20327308059305,230.17837448559214,225.71920502852015,226.49710083007812,13219481,0.0,0.0
2017-02-06 00:00:00+05:30,227.23118183462378,228.96225285762426,226.14652164983733,228.25010681152344,9991907,0.0,0.0
2017-02-07 00:00:00+05:30,228.32676090815474,228.40345197160198,225.08373674700863,225.8944854736328,9905562,0.0,0.0
2017-02-08 00:00:00+05:30,225.89450598478214,227.5050769727125,223.94431774093013,224.63455200195312,16230826,0.0,0.0
2017-02-09 00:00:00+05:30,225.25905956214984,226.57380755793764,224.99611873938824,226.29989624023438,9861688,0.0,0.0
2017-02-10 00:00:00+05:30,226.79292725732088,226.91344180233384,224.722209747337,225.7301788330078,12518554,0.0,0.0
2017-02-13 00:00:00+05:30,226.35467826499502,226.57381024722392,223.94432885176462,225.66444396972656,8565757,0.0,0.0
2017-02-14 00:00:00+05:30,226.79292512592764,230.7152427544646,225.67539737347482,230.03594970703125,18244623,0.0,0.0
2017-02-15 00:00:00+05:30,230.71522638991155,231.7231953946146,229.03892025280555,230.3646240234375,15236663,0.0,0.0
2017-02-16 00:00:00+05:30,230.63853673918584,234.3417221479759,230.63853673918584,233.9144287109375,19655195,0.0,0.0
2017-02-17 00:00:00+05:30,233.69534970092332,236.2590961163073,231.93139632888574,235.66744995117188,14847356,0.0,0.0
2017-02-20 00:00:00+05:30,234.58277461980435,236.40150721853405,233.69533468378376,235.64552307128906,11650581,0.0,0.0
